id,title,concept_id,page,icon,component_name,toc_location,lesson_id,cms_activity_id,cms_revision_id,toc_location_rank,concept_id,concept_rank,points_possible
13231,Flashcards,214600000,,,Tutorials,214600000,198,,90013231,1,214600000,1,12
12718,Tutorial 1,214600000,,,Tutorials,214600000,198,,90012718,2,214600000,2,12
12719,Tutorial 2,214600000,,,Tutorials,214600000,198,,90012719,3,214600000,3,12
12720,Tutorial 3,214600000,,,Tutorials,214600000,198,,90012720,4,214600000,4,12
55216,"Hola, ¿qué tal?",214600000,,audio.gif,Tutorials,214600000,198,,90055216,5,214600000,5,12
55219,Saludos y una despedida,214600000,,,Tutorials,214600000,198,,90055219,6,214600000,6,12
13025,Crucigrama,214600000,,,Tutorials,214600000,198,,90013025,7,214600000,7,12
35650,"Hola, ¿qué tal?",214600000,,,Practice,214600000,198,,90035650,8,214600000,8,12
37699,¿Lógico o ilógico?,214600000,4,textbook_audio.gif,Practice,214600000,198,,90037699,9,214600000,9,12
37700,¡Hola!,214600000,4,textbook_audio.gif,Practice,214600000,198,,90037700,10,214600000,10,12
48226,Seleccionar,214600000,,,Practice,214600000,198,,90048226,11,214600000,11,12
951,Escoger,214600000,,,Practice,214600000,198,,90000951,12,214600000,12,12
10450,Ordenar,214600000,,,Practice,214600000,198,,90010450,13,214600000,13,12
39477,<b>Repaso</b>,214600000,,,Practice,214600000,198,,90039477,14,214600000,14,12
34268,Más práctica,214600000,,,Practice,214600000,198,,90034268,15,214600000,15,12
47578,1 - Saludos,214600000,,,Workbook,214600000,198,,90047578,16,214600000,16,12
37768,2 - Conversación,214600000,,,Workbook,214600000,198,,90037768,17,214600000,17,12
12092,"3 - Saludos, despedidas y presentaciones",214600000,,,Workbook,214600000,198,,90012092,18,214600000,18,12
47588,4 - Los países,214600000,,,Workbook,214600000,198,,90047588,19,214600000,19,12
37777,5 - Diferente,214600000,,,Workbook,214600000,198,,90037777,20,214600000,20,12
47559,1 - Identificar,214600000,,audio.gif,Lab Manual,214600000,198,,90047559,21,214600000,21,12
49935,2 - Asociar,214600000,,audio.gif,Lab Manual,214600000,198,,90049935,22,214600000,22,12
49421,3 - Preguntas,214600000,,microphone.gif,Lab Manual,214600000,198,,90049421,23,214600000,23,12
