id,component,structure
951,SS,"MC,5,0"
2008,SS,"MC,5,0"
2010,SS,"MC,5,0"
3141,SS,
3452,SS,"MC,5,0"
3456,SS,"MC,5,0"
3872,SS,
3900,SS,"DS,12,0"
3905,SS,"DS,5,0"
4053,SS,"MC,5,0"
4183,SS,"FB,10,0"
4185,SS,"MC,5,0"
7880,GT,
7881,GT,
7882,GT,
7885,GT,
8510,GT,
8511,GT,
8524,SS,"FB,5,0"
8646,VM,"DS,21,0"
8670,LM,"MC,4,0"
9262,SS,
9299,SS,
9317,SS,
9928,LM,"MC,6,0"
10367,LM,"FB,10,0"
10373,SS,"MC,5,0"
10389,SS,"DS,6,0"
10450,SS,"DS,5,0|DS,4,0|DS,5,0|DS,4,0"
10622,SS,"DS,6,0"
10781,SS,
10817,SS,"MC,5,0"
10906,VM,
10972,SS,"FB,5,0"
11040,VM,"DS,6,0"
11402,LM,"MC,6,0"
11497,SS,
11507,SS,
11547,SS,
11677,WB,"DS,9,0"
11678,WB,"DS,10,0"
11712,WB,"DS,10,0"
11718,WB,"FB,8,0"
11731,WB,"FB,9,0"
11764,LM,"MC,8,0"
11795,VM,"OE,1,0"
11803,LM,"MC,6,0"
11812,WB,"FB,11,0"
11821,SS,"MC,6,0"
11824,WB,"FB,6,0"
11825,WB,"FB,8,0"
11832,SS,
11836,WB,"FB,6,0"
11838,WB,"FB,6,0"
11839,WB,"FB,15,0"
11844,WB,"FB,6,0"
11849,WB,"FB,14,0"
11857,VM,
11858,VM,"OE,3,0"
11902,LM,"MC,8,0"
11906,LM,"DS,8,0"
11911,LM,"DS,4,0"
11930,VM,"OE,4,0"
11960,VM,"OE,1,0"
11980,WB,"FB,20,0"
12006,VM,"DS,4,0"
12008,VM,"DS,15,0"
12011,VM,"OE,6,0"
12012,VM,"OE,3,0"
12015,VM,"MC,8,0"
12020,LM,"FB,7,0"
12024,LM,"FB,12,0"
12030,LM,"MC,6,0"
12064,SS,
12092,WB,"FB,16,0"
12103,LM,"FB,9,0"
12312,SS,"MC,6,0"
12394,VM,"OE,2,0"
12397,VM,"OE,1,0"
12401,VM,"MC,12,0"
12456,VM,"OE,5,0"
12472,WB,"DS,10,0"
12580,LM,"DS,4,0"
12642,SS,"MC,8,0"
12701,SS,
12707,SS,"MC,6,0"
12718,GT,
12719,GT,
12720,GT,
12721,GT,
12722,GT,
12723,GT,
12724,GT,
12725,GT,
12726,GT,
