id,study_schedule_id,assignable_id,due_date,assignable_type
1,101,39964,"2009-01-23",Activity
4,101,51028,"2009-01-23",Activity
5,101,33635,"2009-01-23",Activity
6,101,51025,"2009-01-23",Activity
7,101,39968,"2009-01-23",Activity
8,101,39978,"2009-01-23",Activity
9,101,39990,"2009-01-23",Activity
11,101,51020,"2009-01-23",Activity
14,101,51022,"2009-01-23",Activity
20,101,33634,"2009-01-23",Activity
21,101,51191,"2009-01-28",Activity
22,101,41504,"2009-01-28",Activity
23,101,51223,"2009-01-28",Activity
24,101,41355,"2009-01-28",Activity
25,101,36355,"2009-01-28",Activity
26,101,51089,"2009-01-28",Activity
27,101,51229,"2009-01-30",Activity
28,101,41520,"2009-01-30",Activity
29,101,41512,"2009-01-30",Activity
30,101,41509,"2009-01-30",Activity
31,101,20266,"2009-01-30",Activity
35,101,14499,"2009-01-30",Activity
36,101,14486,"2009-01-30",Activity
37,101,40309,"2009-01-30",Activity
38,101,33508,"2009-01-30",Activity
39,101,12838,"2009-01-30",Activity
40,101,12830,"2009-01-30",Activity
42,101,40324,"2009-01-30",Activity
43,101,41522,"2009-02-02",Activity
44,101,41526,"2009-02-02",Activity
45,101,51238,"2009-02-02",Activity
46,101,51245,"2009-02-02",Activity
47,101,51255,"2009-02-04",Activity
48,101,51250,"2009-02-04",Activity
49,101,51248,"2009-02-04",Activity
50,101,41579,"2009-02-06",Activity
51,101,41576,"2009-02-06",Activity
52,101,41570,"2009-02-06",Activity
53,101,41553,"2009-02-06",Activity
54,101,41546,"2009-02-06",Activity
55,101,41538,"2009-02-06",Activity
56,101,51097,"2009-02-09",Activity
57,101,51102,"2009-02-09",Activity
58,101,51105,"2009-02-09",Activity
59,101,51107,"2009-02-09",Activity
60,101,51110,"2009-02-09",Activity
61,101,51115,"2009-02-09",Activity
62,101,51121,"2009-02-09",Activity
63,101,51122,"2009-02-09",Activity
64,101,51124,"2009-02-09",Activity
68,101,41399,"2009-02-09",Activity
69,101,41392,"2009-02-09",Activity
74,101,33695,"2009-02-09",Activity
75,101,34042,"2009-02-09",Activity
76,101,41369,"2009-02-09",Activity
77,101,41371,"2009-02-09",Activity
78,101,41374,"2009-02-09",Activity
79,101,41377,"2009-02-09",Activity
80,101,41380,"2009-02-09",Activity
81,101,51354,"2009-02-13",Activity
82,101,20628,"2009-02-13",Activity
83,101,40726,"2009-02-13",Activity
84,101,40728,"2009-02-13",Activity
85,101,55391,"2009-02-13",Activity
86,101,51350,"2009-02-13",Activity
87,101,48579,"2009-02-13",Activity
88,101,33547,"2009-02-13",Activity
89,101,51348,"2009-02-13",Activity
90,101,35043,"2009-02-13",Activity
91,101,18717,"2009-02-13",Activity
92,101,21334,"2009-02-13",Activity
93,101,55402,"2009-02-16",Activity
94,101,40738,"2009-02-16",Activity
95,101,40735,"2009-02-16",Activity
96,101,40733,"2009-02-16",Activity
97,101,40731,"2009-02-16",Activity
98,101,20658,"2009-02-16",Activity
99,101,55407,"2009-02-18",Activity
100,101,40746,"2009-02-18",Activity
101,101,17032,"2009-02-18",Activity
102,101,55422,"2009-02-20",Activity
103,101,55417,"2009-02-20",Activity
104,101,55415,"2009-02-20",Activity
105,101,55412,"2009-02-20",Activity
106,101,55409,"2009-02-20",Activity
107,101,40768,"2009-02-20",Activity
108,101,40761,"2009-02-20",Activity
109,101,40757,"2009-02-20",Activity
110,101,40591,"2009-02-25",Activity
111,101,40589,"2009-02-25",Activity
112,101,40585,"2009-02-25",Activity
