id,name,lesson_id,background_color
214600000,L1 PREPARACIÓN,198,#ED1C24
214800000,L1 PRONUNCIACIÓN,198,#ED1C24
214700000,L1 AVENTURAS,198,#007DC6
215000000,L1 EXPLORACIÓN,198,#E0861B
215201523,L1 GRAMÁTICA - 1.1 Nouns and articles,198,#17A46A
215201524,L1 GRAMÁTICA - 1.2 Numbers 0&ndash;30,198,#17A46A
215201525,L1 GRAMÁTICA - 1.3 Present tense of <b><i>ser</i></b>,198,#17A46A
215201526,L1 GRAMÁTICA - 1.4 Telling time,198,#17A46A
215300000,L1 LECTURA,198,#5B57A6
215600000,L1 VOCABULARIO,198,#FFD503
215100000,L1 FLASH CULTURA,198,#E0861B
215700000,L2 PREPARACIÓN,199,#ED1C24
215900000,L2 PRONUNCIACIÓN,199,#ED1C24
215800000,L2 AVENTURAS,199,#007DC6
216100000,L2 EXPLORACIÓN,199,#E0861B
216301527,L2 GRAMÁTICA - 2.1 Present tense of regular <b><i>&ndash;ar</i></b> verbs,199,#17A46A
216301528,L2 GRAMÁTICA - 2.2 Forming questions in Spanish,199,#17A46A
216301529,L2 GRAMÁTICA - 2.3 Present tense of <b><i>estar</i></b>,199,#17A46A
216301530,L2 GRAMÁTICA - 2.4 Numbers 31&ndash;100,199,#17A46A
216400000,L2 LECTURA,199,#5B57A6
216700000,L2 VOCABULARIO,199,#FFD503
216501637,L2 AVENTURAS EN LOS PAÍSES HISPANOS - Estados Unidos y Canadá,199,#BD1547
216501644,L2 AVENTURAS EN LOS PAÍSES HISPANOS - Los Estados Unidos,199,#BD1547
216501645,L2 AVENTURAS EN LOS PAÍSES HISPANOS - Canadá,199,#BD1547
216200000,L2 FLASH CULTURA,199,#E0861B
216800000,L3 PREPARACIÓN,200,#ED1C24
217000000,L3 PRONUNCIACIÓN,200,#ED1C24
216900000,L3 AVENTURAS,200,#007DC6
217200000,L3 EXPLORACIÓN,200,#E0861B
217401531,L3 GRAMÁTICA - 3.1 Descriptive adjectives,200,#17A46A
