audience,session_type,session_date,archived
Supersites,Advanced,2011-09-30 13:00,0
Supersites,Gradebook,2011-09-28 18:00,0
Supersites,Wimba,2011-09-27 19:00,0
Quia,,2011-09-23 13:00,0
Supersites,Advanced,2011-09-21 18:00,0
Supersites,Gradebook,2011-09-20 19:00,0
Supersites,Basic,2011-09-16 15:00,0
Supersites,Basic,2011-09-15 17:00,0
Supersites,Basic,2011-09-14 17:00,0
Supersites,Basic,2011-09-13 15:00,0
Supersites,Basic,2011-09-12 19:00,1
Supersites,Basic,2011-09-09 17:00,0
Supersites,Basic,2011-09-08 19:00,0
Supersites,Basic,2011-09-07 15:00,0
Supersites,Basic,2011-09-02 14:00,0
Supersites,Basic,2011-09-01 19:00,0
Supersites,Basic,2011-08-31 13:00,0
Supersites,Basic,2011-08-29 19:00,0
Supersites,Basic,2011-08-24 19:00,0
Supersites,Basic,2011-08-22 16:00,0
Supersites,Basic,2011-08-18 19:00,0
Supersites,Basic,2011-08-18 16:00,0
Supersites,Basic,2011-08-17 19:00,0
Supersites,Wimba,2011-08-17 16:00,0
Supersites,Basic,2011-08-17 11:00,0
Quia,,2011-08-16 19:00,0
Supersites,Basic,2011-08-16 16:00,0
Supersites,Basic,2011-08-11 16:00,0
Supersites,Advanced,2011-08-11 11:00,0
Supersites,Basic,2011-08-10 19:00,0
Quia,,2011-08-10 14:00,0
Supersites,Gradebook,2011-08-09 19:00,0
Supersites,Basic,2011-08-09 16:00,0
Supersites,Basic,2011-08-08 19:00,0
Supersites,Wimba,2011-08-08 16:00,0
Supersites,Basic,2011-08-04 16:00,0
Quia,,2011-08-04 14:00,0
Supersites,Wimba,2011-08-03 16:00,0
Supersites,Basic,2011-08-03 13:00,0
Supersites,Gradebook,2011-08-02 16:00,0
Supersites,Basic,2011-08-02 13:00,0
Supersites,Basic,2011-08-01 16:00,0
