target_word,target_definition,base_word,vocab_tags_attributes
apoderarse,tomar posesión o control de una cosa o de una situación,to take control ,Tema 1;Contexto 1;verbo;familia;comunidad;educación;deporte
aquejar,"causar daño o sufrimiento físico, emocional o moral","to cause harm, to afflict",Tema 1;Contexto 1;verbo;familia;comunidad;educación;deporte
constatar,confirmar,to confirm,Tema 1;Contexto 1;verbo;familia;comunidad;educación;deporte
la sede,lugar donde una entidad tiene su domicilio,headquarters,Tema 1;Contexto 1;sustantivo;familia;comunidad;educación;fundación;deporte
sostenerse,mantenerse firme; resistir,to remain standing,Tema 1;Contexto 1;verbo;familia;comunidad;educación
la informática,conjunto de conocimientos científicos relacionados con las computadoras,computer science,Tema 1;Contexto 1;sustantivo;familia;comunidad;educación;computador;profesión
el magisterio,la enseñanza; el conjunto de los maestros,teaching; faculty; the teaching profession,Tema 1;Contexto 1;sustantivo;familia;comunidad;educación;maestro;profesión
mermado/a,"disminuido, reducido","reduced, diminished",Tema 1;Contexto 1;adjetivo;familia;comunidad;educación
trasladar,mover o transferir de un uso o lugar a otro,"to move, to transfer",Tema 1;Contexto 1;verbo;familia;comunidad;educación
encarnar,tomar forma corporal; personificar,"to personify, to incarnate",Tema 1;Contexto 1;verbo;familia;comunidad;educación
enarbolar,"levantar, elevar (especialmente una bandera o una causa)","to hoist, to raise",Tema 1;Contexto 1;verbo;familia;comunidad;educación;solución;campaña
satanizar,representar como diabólico o maligno,to demonize,Tema 1;Contexto 1;verbo;familia;comunidad;educación
la rentabilidad,el beneficio económico,profitability,Tema 1;Contexto 1;sustantivo;familia;comunidad;educación;economía
la chabola,una casa pequeña y de pésima calidad,shack,Tema 1;Contexto 1;sustantivo;familia;comunidad;educación;economía
vitalicio/a,que dura toda la vida,"lifelong, perpetual",Tema 1;Contexto 1;adjetivo;familia;comunidad;educación
el reclamo,demanda o petición,"demand, complaint",Tema 1;Contexto 1;sustantivo;familia;comunidad;educación;desafío;campaña;solución
perecer,"morir, sucumbir","to die, to perish",Tema 1;Contexto 1;verbo;familia;comunidad;educación
concertarse,"estar de acuerdo, armonizar","to agree, to harmonize",Tema 1;Contexto 1;audio;verbo;familia;comunidad;educación;música;valores
sembrar,cultivar; dar motivo o principio a algo,to sow; to inspire,Tema 1;Contexto 1;audio;verbo;familia;comunidad;educación;tocar;orquesta;música;valores
empresa,acción difícil que requiere decisión y esfuerzo para lograrse,"enterprise, endeavour",Tema 1;Contexto 1;audio;sustantivo;familia;comunidad;educación;orquesta;música;valores
generar,"crear algo, producir, engendrar","to produce, to create",Tema 1;Contexto 1;audio;verbo;familia;comunidad;educación;orquesta;música;valores
avasallador(a),que domina o se impone,overwhelming,Tema 1;Contexto 2;adjetivo;familia;comunidad;redes sociales;Internet;Facebook
el interrogante,"duda, pregunta; problema no aclarado",question,Tema 1;Contexto 2;sustantivo;familia;comunidad;redes sociales;Internet;Facebook
el engaño,"mentira, falsedad","trick, hoax, lie",Tema 1;Contexto 2;sustantivo;familia;comunidad;redes sociales;Internet;Facebook
trinar,publicar un comentario en Twitter,to tweet,Tema 1;Contexto 2;verbo;familia;comunidad;redes sociales;Internet;Facebook
el/la aliado/a ,una entidad (persona o país) que se une con otra para alcanzar objetivos comunes,ally,Tema 1;Contexto 2;sustantivo;familia;comunidad;redes sociales;Internet;Facebook
el perfil,rasgos y datos personales que se registran en una cuenta,profile,Tema 1;Contexto 2;sustantivo;familia;comunidad;redes sociales;Internet;Facebook
rastrear,seguir el rastro o las huellas; vigilar,"to track, to watch",Tema 1;Contexto 2;verbo;familia;comunidad;redes sociales;Internet;Facebook
el dispositivo,aparato o mecanismo que tiene una función específica,device,Tema 1;Contexto 2;sustantivo;familia;comunidad;redes sociales;Internet;Facebook;
el/la ermitaño/a,"persona que prefiere vivir en soledad, apartada de la sociedad",hermit,Tema 1;Contexto 2;sustantivo;familia;comunidad;redes sociales;Internet;Facebook
el/la internauta,usuario/a de Internet,internet user,Tema 1;Contexto 2;sustantivo;familia;comunidad;redes sociales;Internet;Facebook;Centroamérica
recopilar,"recoger, reunir, especialmente información o datos","to compile, to gather",Tema 1;Contexto 2;verbo;familia;comunidad;redes sociales;Internet;Facebook;Centroamérica
destacar,sobresalir; ser notable o extraordinario,to stand out,Tema 1;Contexto 2;verbo;familia;comunidad;redes sociales;Internet;Facebook;Centroamérica
el istmo,área estrecha de tierra que conecta un continente con otro,isthmus,Tema 1;Contexto 2;sustantivo;familia;comunidad;redes sociales;Internet;Facebook;Centroamérica
sumamente,en gran medida,extremely,Tema 1;Contexto 2;adverbio;familia;comunidad;redes sociales;Internet;Facebook;Centroamérica
el/la chaval(a),niño/a o joven,(informal) kid,Tema 1;Contexto 2;sustantivo;audio;familia;comunidad;redes sociales;jóvenes
abrir el terreno,"compartir, confiar",to open up,Tema 1;Contexto 2;verbo;audio;familia;comunidad;redes sociales;jóvenes
el entrenamiento,"práctica, preparación organizada individual o en equipo","training, practice",Tema 1;Contexto 1;sustantivo;familia;comunidad;educación;deporte;fundación
penal,perteneciente a las leyes destinadas a perseguir  crímenes o delitos,"criminal,  penitentiary ",Tema 1;Contexto 2;adjetivo;audio;familia;comunidad;redes sociales;jóvenes
el acoso,"molestia, persecución y maltrato hacia una persona",harassment,Tema 1;Contexto 2;sustantivo;audio;familia;comunidad;redes sociales;jóvenes
la herramienta,"instrumento, elemento útil",tool,Tema 1;Contexto 2;sustantivo;audio;familia;comunidad;redes sociales;jóvenes
el asombro,gran admiración; sorpresa o extrañeza,"surprise, astonishment",Tema 1;Contexto 3;sustantivo;familia;comunidad;geografía humana;Atitlán
atomizar,"desintegrar, dividir en muchas partes pequeñas","to atomize, to break up",Tema 1;Contexto 3;verbo;familia;comunidad;geografía humana;Atitlán
indagar,"preguntar, averiguar","to inquire, to investigate",Tema 1;Contexto 3;verbo;familia;comunidad;geografía humana;Atitlán
la precipitación,rapidez,"hurry, rush; (con precipitación)hurriedly",Tema 1;Contexto 3;sustantivo;familia;comunidad;geografía humana;Atitlán
sumir,"insertar, hundir",to sink; (sumido) immersed,Tema 1;Contexto 3;verbo;familia;comunidad;geografía humana;Atitlán
el ámbito,área o medio específico,"sphere, setting, environment",Tema 1;Contexto 3;sustantivo;familia;comunidad;geografía humana;Atitlán
consagrar,dedicar la atención a un asunto,"to dedicate, to devote",Tema 1;Contexto 3;verbo;familia;comunidad;geografía humana;Atitlán
la lancha,"embarcación pequeña, usualmente con motor",boat,Tema 1;Contexto 3;sustantivo;familia;comunidad;geografía humana;Atitlán
sacar provecho (de),beneficiarse (de),to profit (from),Tema 1;Contexto 3;verbo;familia;comunidad;geografía humana;Atitlán
la coyuntura,conjunto de circunstancias u oportunidades,"situation, circumstances",Tema 1;Contexto 3;sustantivo;familia;comunidad;geografía humana;Atitlán
la parcela,porción pequeña de tierra,smallholding,Tema 1;Contexto 3;sustantivo;familia;comunidad;geografía humana;Atitlán
lamentarse,expresar pena o tristeza por alguna cosa,"to regret, to be sorry about",Tema 1;Contexto 3;verbo;familia;comunidad;geografía humana;Atitlán
el/la santiaguino/a,persona originaria de Santiago (de Chile),from Santiago (de Chile),Tema 1;Contexto 3;sustantivo;familia;comunidad;geografía humana;cultura;mall
vinculado/a,unido o relacionado con otra cosa,"linked, connected",Tema 1;Contexto 3;adjetivo;familia;comunidad;geografía humana;cultura;mall
