id,label,title
1,supersite,"Aventuras, Second Edition (Supersite)"
2,supersite,Espaces (Supersite)
3,supersite,Imagina (Supersite)
4,supersite,Sueña (Supersite)
5,supersite,"Vistas, Third Edition (Supersite)"
6,websam,"Vistas, Third Edition (WebSAM)"
7,supersite,"Revista, Second Edition (Supersite)"
8,supersite,"Enfoques, Second Edition (Supersite)"
9,websam,"Enfoques, Second Edition (WebSAM)"
10,supersite,Imaginez (Supersite)
11,websam,Imaginez (WebSAM)
12,supersite,"Facetas, Second Edition (Supersite)"
13,websam,"Facetas, Second Edition (WebSAM)"
14,supersite,"Descubre, Level 1 (Supersite)"
15,websam,"Descubre, Level 1 (e-Cuaderno)"
16,supersite,¡Viva! (Supersite)
17,supersite,"Descubre, Level 3 (Supersite)"
18,websam,"Descubre, Level 3 (e-Cuaderno)"
19,supersite,"Descubre, Level 2 (Supersite)"
20,websam,"Descubre, Level 2 (e-Cuaderno)"
21,supersite,"Ventanas, Second Edition (Lengua)"
22,websam,"Ventanas, Second Edition (WebSAM)"
23,supersite_ancillary,"Ventanas, Second Edition (Lecturas)"
24,supersite,¡ADELANTE! uno (Supersite)
25,supersite,¡ADELANTE! dos (Supersite)
26,supersite,¡ADELANTE! tres (Supersite)
27,supersite,"Panorama, Third Edition (Supersite)"
28,websam,"Panorama, Third Edition (WebSAM)"
29,websam,¡ADELANTE! uno (WebSAM)
30,websam,¡ADELANTE! dos (WebSAM)
31,websam,¡ADELANTE! tres (WebSAM)
32,supersite,"Aventuras, Third Edition (Supersite)"
33,websam,"Aventuras, Third Edition (WebSAM)"
34,supersite_websam,"Aventuras, Third Edition (Supersite + WebSAM)"
35,supersite_vtext,"Aventuras, Third Edition (Supersite + vText)"
36,supersite_websam_vtext,"Aventuras, Third Edition (Supersite + WebSAM + vText)"
37,supersite,Promenades (Supersite)
38,websam,Promenades (WebSAM)
39,supersite_websam,Promenades (Supersite + WebSAM)
40,supersite_vtext,Promenades (Supersite + vText)
41,supersite_websam_vtext,Promenades (Supersite + WebSAM + vText)
42,supersite,"Revista, Third Edition (Supersite)"
43,supersite,"Invitaciones, Second Edition - Primera Parte (Supersite)"
44,supersite,"Invitaciones, Second Edition - Segunda Parte (Supersite)"
45,supersite,"Hola, ¿qué tal? (Supersite)"
46,supersite_short,"Panorama, Third Edition (Supersite) 12-month access"
47,websam_short,"Panorama, Third Edition (WebSAM) 12-month access"
48,supersite_websam_short,Promenades (Supersite + WebSAM) 12-month access
49,supersite_short,Promenades (Supersite) 12-month access
50,supersite,"Imagina, Second Edition (Supersite)"
51,supersite_websam,"Imagina, Second Edition (Supersite + WebSAM)"
52,vtext,"Imagina, Second Edition (vText)"
53,supersite_vtext,"Imagina, Second Edition (Supersite + vText)"
54,supersite_websam_vtext,"Imagina, Second Edition (Supersite + WebSAM + vText)"
55,supersite,"Sueña, Second Edition (Supersite)"
56,supersite_websam,"Sueña, Second Edition (Supersite + WebSAM)"
57,supersite,"¡Viva!, Second Edition (Supersite)"
58,supersite_websam,"¡Viva!, Second Edition (Supersite + WebSAM)"
59,vtext,"¡Viva!, Second Edition (vText)"
60,supersite_vtext,"¡Viva!, Second Edition (Supersite + vText)"
61,supersite_websam_vtext,"¡Viva!, Second Edition (Supersite + WebSAM + vText)"
62,supersite,Immagina (Supersite)
63,supersite_websam,Immagina (Supersite + WebSAM)
64,supersite,"Espaces, Second Edition (Supersite)"
65,supersite_websam,"Espaces, Second Edition (Supersite + WebSAM)"
66,vtext,"Espaces, Second Edition (vText)"
67,supersite_vtext,"Espaces, Second Edition (Supersite + vText)"
68,supersite_websam_vtext,"Espaces, Second Edition (Supersite + WebSAM + vText)"
69,supersite,Face-à-face (Supersite)
70,supersite_websam,Face-à-face (Supersite + WebSAM)
71,supersite,Sentieri (Supersite)
72,supersite_websam,Sentieri (Supersite + WebSAM)
73,vtext,Sentieri (vText)
74,supersite_vtext,Sentieri (Supersite + vText)
75,supersite_websam_vtext,Sentieri (Supersite + WebSAM + vText)
76,supersite_short,Sentieri (Supersite) 12-month access
77,supersite_websam_short,Sentieri (Supersite + WebSAM) 12-month access
78,supersite,D'accord! Level 1 (Supersite)
79,supersite_websam,D'accord! Level 1 (Supersite + Cahier interactif)
80,supersite,D'accord! Level 2 (Supersite)
81,supersite_websam,D'accord! Level 2 (Supersite + Cahier interactif)
82,supersite,D'accord! Level 3 (Supersite)
83,supersite_websam,D'accord! Level 3 (Supersite + Cahier interactif)
84,vtext,"Descubre, Level 1 (vText)"
85,supersite_vtext,"Descubre, Level 1 (Supersite + vText)"
86,supersite_websam_vtext,"Descubre, Level 1 (Supersite + e-Cuaderno + vText)"
87,vtext,"Descubre, Level 3 (vText)"
