id,label,program_id,feature_type,feature_code,rank
1,Supersite,1,Component,SS,20
2,Supersite,2,Component,SS,20
3,Supersite,3,Component,SS,20
4,Supersite,4,Component,SS,20
5,Tutorials,5,Component,GT,10
6,Practice,5,Component,SS,20
7,WebSAM,5,Component,HW,30
8,Assessment,5,Component,AS,40
9,My Results,5,Component,MR,50
10,Supersite,6,Component,SS,20
11,Tutorials,7,Component,GT,10
12,Practice,7,Component,SS,20
13,WebSAM,7,Component,HW,30
14,Assessment,7,Component,AS,40
15,My Results,7,Component,MR,50
16,Practice,8,Component,SS,20
17,WebSAM,8,Component,HW,30
19,My Results,8,Component,MR,50
20,Tutorials,9,Component,GT,10
21,Practice,9,Component,SS,20
22,WebSAM,9,Component,HW,30
23,Assessment,9,Component,AS,40
24,My Results,9,Component,MR,50
25,Tutorials,10,Component,GT,10
26,Practice,10,Component,SS,20
27,e-Cuaderno,10,Component,HW,30
28,Assessment,10,Component,AS,40
29,My Results,10,Component,MR,50
30,vText,10,Component,VT,60
31,Supersite,11,Component,SS,20
32,Tutorials,12,Component,GT,10
33,Practice,12,Component,SS,20
34,e-Cuaderno,12,Component,HW,30
35,Assessment,12,Component,AS,40
36,My Results,12,Component,MR,50
37,vText,12,Component,VT,60
38,Tutorials,13,Component,GT,10
39,Practice,13,Component,SS,20
40,e-Cuaderno,13,Component,HW,30
41,Assessment,13,Component,AS,40
42,My Results,13,Component,MR,50
43,vText,13,Component,VT,60
44,Tutorials,15,Component,GT,10
45,Lengua,15,Component,SS,20
46,WebSAM,15,Component,HW,30
47,Assessment,15,Component,AS,40
48,Lecturas,15,Component,S2,45
49,My Results,15,Component,MR,50
50,Tutorials,16,Component,GT,10
51,Practice,16,Component,SS,20
52,WebSAM,16,Component,HW,30
53,Assessment,16,Component,AS,40
54,My Results,16,Component,MR,50
55,Tutorials,17,Component,GT,10
56,Practice,17,Component,SS,20
57,WebSAM,17,Component,HW,30
58,Assessment,17,Component,AS,40
59,My Results,17,Component,MR,50
60,Tutorials,18,Component,GT,10
61,Practice,18,Component,SS,20
62,WebSAM,18,Component,HW,30
