id,title,image_filename,language_code,prefix_abbreviation,maestro_version,vhlcentral_subdomain
1,"Aventuras, Second Edition",aventuras2e.png,es,av2e,2,aventuras2e
2,"Espaces",espaces.png,fr,esp1e,2,espaces
3,"Imagina",imagina.png,es,ima1e,2,imagina
4,"Sue&ntilde;a",suena.png,es,sue1e,2,suena
5,"Vistas, Third Edition",vistas.png,es,vis3e,2,vistas
6,"Revista, Second Edition",revista2e.png,es,rev2e,2,revista2e
7,"Enfoques, Second Edition",enfoques.png,es,enf2e,2,enfoques
8,"Imaginez",imaginez.png,fr,imz1e,2,imaginez
9,"Facetas, Second Edition",facetas.png,es,fac2e,2,facetas
10,"Descubre, Level 1",descubre1.png,es,des1en1,2,descubre1
11,"&iexcl;Viva!",viva.png,es,viv1e,2,viva
12,"Descubre, Level 3",descubre3.png,es,des1en3,2,descubre3
13,"Descubre, Level 2",descubre2.png,es,des1en2,2,descubre2
15,"Ventanas, Second Edition",ventanas.png,es,ven2e,2,ventanas
16,"&iexcl;ADELANTE! uno",adelanteuno.png,es,adel1e1,2,adelanteuno
17,"&iexcl;ADELANTE! dos",adelantedos.png,es,adel1e2,2,adelantedos
18,"&iexcl;ADELANTE! tres",adelantetres.png,es,adel1e3,2,adelantetres
19,"Panorama, Third Edition",panorama.png,es,pan3e,2,panorama
20,"Aventuras, Third Edition",aventuras3e.png,es,av3e,2,aventuras3e
21,"Promenades",promenades.png,fr,prom1e,2,promenades
22,"Revista, Third Edition",revista3e.png,es,rev3e,2,revista3e
23,"Invitaciones, Second Edition - Primera Parte",invitaciones1.png,es,in2e1,2,invitaciones1
24,"Invitaciones, Second Edition - Segunda Parte",invitaciones2.png,es,in2e2,2,invitaciones2
25,"Hola, &iquest;qu&eacute; tal?",holaquetal.png,es,hqt,2,holaquetal
26,"Imagina, Second Edition",imagina2e.png,es,ima2e,2,imagina2e
27,"Sue&ntilde;a, Second Edition",suena2e.png,es,sue2e,2,suena2e
28,"&iexcl;Viva!, Second Edition",viva2e.png,es,viv2e,2,viva2e
29,"Immagina",immagina.png,it,imm1e,2,immagina
30,"Espaces, Second Edition",espaces2e.png,fr,esp2e,2,espaces2e
31,"Face-&agrave;-face",faceaface.png,fr,faf,2,faceaface
32,"Sentieri",sentieri.png,it,sent1e,2,sentieri
33,"D'accord! Level 1",daccord1.png,fr,dac1,2,daccord1
34,"D'accord! Level 2",daccord2.png,fr,dac2,2,daccord2
35,"D'accord! Level 3",daccord3.png,fr,dac3,2,daccord3
36,"M3 Publish Target",maestro3.png,es,m3tar,3,m3publishtarget
37,"Denk Mal!",denkmal.png,de,dnk1e,2,denkmal
38,"Enfoques, Third Edition",enfoques3e.png,es,enf3e,2,enfoques3e
39,"Facetas, Third Edition",facetas3e.png,es,fac3e,2,facetas3e
40,"Vistas, Fourth Edition",vistas4e.png,es,vis4e,2,vistas4e
41,"Imaginez, Second Edition",imaginez2e.png,fr,imz2e,2,imaginez2e
42,"R&ecirc;vez",revez.png,fr,rvz1e,2,revez
43,"Intrigas",intrigas.png,es,itg1e,2,intrigas
44,"Protagonistas",protagonistas.png,es,prt1e,2,protagonistas
45,"A Handbook of Contemporary Spanish Grammar",spanishgrammar.png,es,spg1e,2,spanishgrammar
46,"Taller de Escritores",taller.png,es,ta1e,2,taller
50,"Vistas, Fourth Edition Maestro 3 Version",vistas4e.png,es,v4em3,3,
