id,name,school_type,school_type_category,city,state,country_code,time_zone,alternate_names,
1,VHL Demo School,4-year College,1,Boston,MA,USA,Eastern Time (US & Canada),
2,A.I.M. High School,Private,2,Odessa,TX,USA,Central Time (US & Canada),
3,Abbotsford Christian Academy,Private,2,Abbotsford,WI,USA,Central Time (US & Canada),
4,Abilene Christian School,Private,2,Abilene,TX,USA,Central Time (US & Canada),
5,Abilene Christian University,4-year College,1,Abilene,TX,USA,Central Time (US & Canada),
6,Abington Friends School,Private,2,Jenkintown,PA,USA,Eastern Time (US & Canada),
7,Abraham Baldwin Agricultural College,2-year College,1,Tifton,GA,USA,Eastern Time (US & Canada),
8,Abundant Life Academy,Private,2,Hardeeville,SC,USA,Eastern Time (US & Canada),
9,Abundant Life School,Private,2,Sherwood,AR,USA,Central Time (US & Canada),
10,Academy Middle and High School,Private,2,Coral Springs,FL,USA,Eastern Time (US & Canada),
11,Academy of Art University,4-year College,1,San Francisco,CA,USA,Pacific Time (US & Canada),
12,Academy of Mount St. Ursula,Private,2,Bronx,NY,USA,Eastern Time (US & Canada),
13,Academy of Notre Dame De Namur,Private,2,Villanova,PA,USA,Eastern Time (US & Canada),
14,Academy of Our Lady of Peace,Private,2,San Diego,CA,USA,Pacific Time (US & Canada),
15,Academy of Sacred Heart High School,Private,2,Hoboken,NJ,USA,Eastern Time (US & Canada),
16,Academy of Sacred Heart New Orleans,Catholic,2,New Orleans,LA,USA,Central Time (US & Canada),
17,Academy of St. Aloysius,Private,2,Jersey City,NJ,USA,Eastern Time (US & Canada),
18,Academy of St. Elizabeth,Private,2,Convent Station,NJ,USA,Eastern Time (US & Canada),
19,Academy of St. Joseph,Private,2,Brentwood,NY,USA,Eastern Time (US & Canada),
20,Academy of the Holy Cross,Private,2,Kensington,MD,USA,Eastern Time (US & Canada),
21,Academy of the Holy Names,Catholic,2,Tampa,FL,USA,Eastern Time (US & Canada),
22,Academy of the Holy Names-Upper,Private,2,Albany,NY,USA,Eastern Time (US & Canada),
23,Academy of the New Church,Private,2,Bryn Athyn,PA,USA,Eastern Time (US & Canada),
24,Academy of the Pacific,Private,2,Honolulu,HI,USA,Hawaii,
25,Academy Plus School,Private,2,Carmel,IN,USA,Eastern Time (US & Canada),
26,Academy Scholastic Achievement,Private,2,Chicago,IL,USA,Central Time (US & Canada),
27,Acadia University,4-year College,1,Wolfville,NS,CAN,Atlantic Time (Canada),
28,Acadiana Preparatory School,Private,2,Opelousas,LA,USA,Central Time (US & Canada),
29,Accelerated Schools,Private,2,Denver,CO,USA,Mountain Time (US & Canada),
30,Ad Fontes Academy,Private,2,Fairfax Station,VA,USA,Eastern Time (US & Canada),
31,Adams County Christian Academy,Private,2,Gettysburg,PA,USA,Eastern Time (US & Canada),
32,Adams County Christian School,Private,2,Natchez,MS,USA,Central Time (US & Canada),
33,Adams State College,4-year College,1,Alamosa,CO,USA,Mountain Time (US & Canada),
34,Adelphi Academy,Private,2,Brooklyn,NY,USA,Eastern Time (US & Canada),
35,Adelphi University,4-year College,1,Garden City,NY,USA,Eastern Time (US & Canada),
36,Adirondack Cmty College,2-year College,1,Queensbury,NY,USA,Eastern Time (US & Canada),
37,Admiral Farragut Academy,Private,2,St. Petersburg,FL,USA,Eastern Time (US & Canada),
38,Adrian College,4-year College,1,Adrian,MI,USA,Eastern Time (US & Canada),
39,Agape Christian Academy,Private,2,Canton,MI,USA,Eastern Time (US & Canada),
40,Agape Corner School,Private,2,Durham,NC,USA,Eastern Time (US & Canada),
