afb,air,force,base
ala,alabama
alt,alternative
apo,army,post,office
ariz,arizona
ark,arkansas
ave,avenue
bch,beach
bea,beach
bus,business
bvm,blessed,virgin,mary
cal,california
cali,california
calif,california
cc,community,college
ccd,community,college,district
cen,central
ch,court,house
clg,college
cmty,community
col,colonel
colo,colorado
comm,community
conn,connecticut
cont,continuation
crk,creek
csd,community,school,district
csu,california,state,university
ctl,central
ctr,center
cuny,city,university,of,new,york
dak,dakota
del,delaware
dep,depot
div,division
dr,doctor
env,environmental
es,elementary,school
etc,educational,tutoring,&,consulting
fci,federal,correctional,institution
fin,finance
fla,florida
fls,falls
ft,fort
gen,general
gov,governor
hcc,houston,community,college
hls,hills
hon,honourable
hs,high,school
hts,heights
ib,international,baccalaureate
ihs,independent,high,school
ill,illinois
inc,incorporated
ind,independent
inst,institute
int,international
intl,international
is,intermediate,school
isd,independent,school,district
jct,junction
jhs,junior,high,school
jr,junior
jun,junction
kans,kansas
ltd,limited
maj,major
mass,massachusetts
mem,memorial
mex,mexico
mich,michigan
minn,minnesota
miss,mississippi
mnr,manor
mnt,mount
mont,montana
mtn,mountain
neb,nebraska
nebr,nebraska
nev,nevada
nw,northwest
nyc,new,york,city
okla,oklahoma
ore,oregon
oreg,oregon
prep,preparatory
poly,polytechnical
polytech,polytechnical
polytechnic,polytechnical
prt,port
ps,public,school
pt,point
reg,regional
sch,school
schools,school
sci,science
sda,seventh,day,adventist
sec,secondary
shs,senior,high,school
sr,senior
st,saint
ste,saint
sts,saints
suny,state,university,of,new,york
sw,southwest
tenn,tennessee
tex,texas
twp,township
univ,university
vlg,village
vly,valley
voc,vocational
wash,washington
wis,wisconsin
wisc,wisconsin
wyo,wyoming
