al,alabama
ak,alaska
az,arizona
ar,arkansas
ca,california
co,colorado
ct,connecticut
de,delaware
dc,district,of,columbia
fl,florida
ga,georgia
hi,hawaii
id,idaho
il,illinois
in,indiana
ia,iowa
ks,kansas
ky,kentucky
la,louisiana
me,maine
md,maryland
ma,massachusetts
mi,michigan
mn,minnesota
ms,mississippi
mo,missouri
mt,montana
ne,nebraska
nv,nevada
nh,new,hampshire
nj,new,jersey
nm,new,mexico
ny,new,york
nc,north,carolina
nd,north,dakota
oh,ohio
ok,oklahoma
or,oregon
pa,pennsylvania
ri,rhode,island
sc,south,carolina
sd,south,dakota
tn,tennessee
tx,texas
ut,utah
vt,vermont
va,virginia
wa,washington,western,australia
wv,west,virginia
wi,wisconsin
wy,wyoming
aa,armed,forces,americas
ae,armed,forces
ap,armed,forces,pacific
as,american,samoa
fm,federated,states,of,micronesia
gu,guam
mh,marshall,islands
mp,northern,mariana,islands
pr,puerto,rico
pw,palau
vi,virgin,islands
ab,alberta
bc,british,columbia
mb,manitoba
nb,new,brunswick
nl,newfoundland,and,labrador
ns,nova,scotia
nt,northwest,territories,northern,territory
nu,nunavut
on,ontario
pe,prince,edward,island
qc,quebec
sk,saskatchewan
yt,yukon
nsw,new,south,wales
act,australian,capital,territory
vic,victoria
qld,queensland
sa,south,australia
tas,tasmania
